"gene1","gene2","pValue","oddsRatio","00","11","01","10","pAdj","Event","pair","event_ratio"
"CDH1","KMT2D",0.21062184006262,0.374380573517523,748,2,31,129,0.423275402055104,"Mutually_Exclusive","CDH1, KMT2D","2/160"
"FOXA1","PTEN",0.219788864303572,1.99478523980215,832,3,50,25,0.433337666213667,"Co_Occurence","FOXA1, PTEN","3/75"
"LRP1B","PTEN",0.219788864303572,1.99478523980215,832,3,50,25,0.433337666213667,"Co_Occurence","LRP1B, PTEN","3/75"
"MYH9","PTEN",0.219788864303572,1.99478523980215,832,3,50,25,0.433337666213667,"Co_Occurence","MYH9, PTEN","3/75"
"FOXA1","AKAP9",0.223179148018931,2.43231832163001,855,2,27,26,0.436782777768744,"Co_Occurence","AKAP9, FOXA1","2/53"
"KMT2D","KMT2C",0.224331634662027,1.77762182731961,797,5,80,28,0.436782777768744,"Co_Occurence","KMT2C, KMT2D","5/108"
"CSMD3","PIK3CA",0.22872353683285,0.598473400441536,546,10,326,28,0.442024121653562,"Mutually_Exclusive","CSMD3, PIK3CA","10/354"
"ARID1A","FAT3",0.229852543259852,1.9370072282328,835,3,38,34,0.442024121653562,"Co_Occurence","ARID1A, FAT3","3/72"
"FAT1","TP53",0.23343977566205,0.547238142360119,548,7,334,21,0.446176941250096,"Mutually_Exclusive","FAT1, TP53","7/355"
"PIK3R1","LRP1B",0.246431656757404,2.25975886013827,853,2,26,29,0.468145244599932,"Co_Occurence","LRP1B, PIK3R1","2/55"
"MAP2K4","KMT2C",0.252086821781106,1.8212330973849,792,6,79,33,0.473380399302802,"Co_Occurence","KMT2C, MAP2K4","6/112"
"FAT3","MAP2K4",0.252217076748533,0,830,0,39,41,0.473380399302802,"Mutually_Exclusive","FAT3, MAP2K4","0/80"
"RUNX1","KMT2C",0.257584197095404,1.76557797121566,791,6,79,34,0.479485776530501,"Co_Occurence","KMT2C, RUNX1","6/113"
"LRP1B","GATA3",0.258538730705246,1.7473712990325,763,6,119,22,0.479485776530501,"Co_Occurence","GATA3, LRP1B","6/141"
"BIRC6","CDH1",0.260783025181082,1.73132034599493,758,6,125,21,0.480794662944474,"Co_Occurence","BIRC6, CDH1","6/146"
"TBX3","AKT1",0.278596356769817,2.05823180991705,850,2,25,33,0.510623821059049,"Co_Occurence","AKT1, TBX3","2/58"
"KMT2D","AKAP9",0.283612417577259,2.02890438176807,850,2,27,31,0.516786475177221,"Co_Occurence","AKAP9, KMT2D","2/58"
"FAT1","TBX3",0.293228431634305,1.97702285476906,849,2,33,26,0.531210926873741,"Co_Occurence","FAT1, TBX3","2/59"
"PIK3R1","GATA3",0.296813217942847,0.424180482154442,756,2,123,29,0.534605940098788,"Mutually_Exclusive","GATA3, PIK3R1","2/152"
"NCOR1","MAP3K1",0.309598755431076,0.395612041081923,778,2,82,48,0.550058276944619,"Mutually_Exclusive","MAP3K1, NCOR1","2/130"
"PIK3R1","KMT2D",0.311162357299739,1.8848413958496,848,2,31,29,0.550058276944619,"Co_Occurence","KMT2D, PIK3R1","2/60"
"TBX3","GATA3",0.311529577887391,1.6028370521255,757,7,118,28,0.550058276944619,"Co_Occurence","GATA3, TBX3","7/146"
"CSMD3","BIRC6",0.312433101304543,1.88054662299166,847,2,25,36,0.550058276944619,"Co_Occurence","BIRC6, CSMD3","2/61"
"ARID1A","FOXA1",0.316588511496807,1.85993644254653,847,2,26,35,0.550175803358819,"Co_Occurence","ARID1A, FOXA1","2/61"
"LRP1B","MAP3K1",0.317781544020054,1.66968328054647,802,4,80,24,0.550175803358819,"Co_Occurence","LRP1B, MAP3K1","4/104"
"MYH9","MAP3K1",0.317781544020054,1.66968328054647,802,4,80,24,0.550175803358819,"Co_Occurence","MAP3K1, MYH9","4/104"
"LRP1B","PIK3CA",0.322100506414481,1.4991399100457,559,13,323,15,0.552513687757751,"Co_Occurence","LRP1B, PIK3CA","13/338"
"KMT2C","LRP1B",0.322667993650527,1.64704881619221,801,4,24,81,0.552513687757751,"Co_Occurence","KMT2C, LRP1B","4/105"
"MYH9","CSMD3",0.328223660035146,1.80610690435165,846,2,36,26,0.558963998697456,"Co_Occurence","CSMD3, MYH9","2/62"
"KMT2C","CDH1",0.334205490684802,0.682639208168459,703,9,122,76,0.566066210509489,"Mutually_Exclusive","CDH1, KMT2C","9/198"
"GATA3","FAT3",0.349628357824072,0.483696350616531,747,3,38,122,0.585600339271877,"Mutually_Exclusive","FAT3, GATA3","3/160"
"RUNX1","LRP1B",0.351360203563126,1.70723039289361,844,2,26,38,0.585600339271877,"Co_Occurence","LRP1B, RUNX1","2/64"
"RUNX1","MYH9",0.351360203563126,1.70723039289361,844,2,26,38,0.585600339271877,"Co_Occurence","MYH9, RUNX1","2/64"
"TBX3","MAP3K1",0.36311115417006,1.67816040586093,796,5,79,30,0.601974725082991,"Co_Occurence","MAP3K1, TBX3","5/109"
"TBX3","KMT2C",0.365527676224639,1.65513720302299,795,5,80,30,0.602783107230606,"Co_Occurence","KMT2C, TBX3","5/110"
"PIK3R1","CSMD3",0.37501483409682,1.61388598141499,843,2,36,29,0.615181814463288,"Co_Occurence","CSMD3, PIK3R1","2/65"
"ARID1A","MAP3K1",0.377315862167687,1.56948071169555,794,5,79,32,0.615724318158758,"Co_Occurence","ARID1A, MAP3K1","5/111"
"CSMD3","KMT2C",0.39023187364855,1.49921652021446,792,5,80,33,0.63182019380023,"Co_Occurence","CSMD3, KMT2C","5/113"
"PIK3R1","RUNX1",0.39349134568384,0,839,0,40,31,0.63182019380023,"Mutually_Exclusive","PIK3R1, RUNX1","0/71"
"NCOR1","FOXA1",0.395786985103073,0,832,0,28,50,0.63182019380023,"Mutually_Exclusive","FOXA1, NCOR1","0/78"
"NF1","MAP3K1",0.39578808767941,1.47357844323621,792,5,79,34,0.63182019380023,"Co_Occurence","MAP3K1, NF1","5/113"
"AKT1","PTEN",0.397288537861585,0,830,0,53,27,0.63182019380023,"Mutually_Exclusive","AKT1, PTEN","0/80"
"GATA3","BIRC6",0.403107453227062,1.44441131341027,763,5,22,120,0.637828248776997,"Co_Occurence","BIRC6, GATA3","5/142"
"RUNX1","MAP2K4",0.409454538771947,0,831,0,39,40,0.639809178509656,"Mutually_Exclusive","MAP2K4, RUNX1","0/79"
"FAT1","GATA3",0.410501568931795,0.47497401602922,759,2,123,26,0.639809178509656,"Mutually_Exclusive","FAT1, GATA3","2/149"
"MYH9","GATA3",0.410501568931795,0.47497401602922,759,2,123,26,0.639809178509656,"Mutually_Exclusive","GATA3, MYH9","2/149"
"MAP3K1","CDH1",0.413862349508072,0.692715485397865,704,9,122,75,0.641846075539813,"Mutually_Exclusive","CDH1, MAP3K1","9/197"
"RUNX1","FAT3",0.41884186934626,1.77380958035909,832,3,38,37,0.646360909484969,"Co_Occurence","FAT3, RUNX1","3/75"
"BIRC6","PIK3CA",0.423411106876026,1.37969973729811,559,12,324,15,0.650201331197829,"Co_Occurence","BIRC6, PIK3CA","12/339"
"TBX3","NCOR1",0.434144078301979,1.65046905214764,828,3,47,32,0.6634231025397,"Co_Occurence","NCOR1, TBX3","3/79"
"TP53","NCOR1",0.455143946449637,0.77487360415047,535,16,34,325,0.692128872338256,"Mutually_Exclusive","NCOR1, TP53","16/359"
"PTEN","TP53",0.465919780533384,0.777045690669779,533,17,324,36,0.704590986046074,"Mutually_Exclusive","PTEN, TP53","17/360"
"MAP3K1","PTEN",0.467848414734593,0.575101916566365,776,3,50,81,0.704590986046074,"Mutually_Exclusive","MAP3K1, PTEN","3/131"
"RUNX1","NCOR1",0.478087718688278,1.41914085952425,823,3,47,37,0.716558331367323,"Co_Occurence","NCOR1, RUNX1","3/84"
"CDH1","NF1",0.48653380918757,1.3173546375412,747,7,32,124,0.725736588883607,"Co_Occurence","CDH1, NF1","7/156"
"AKT1","MAP3K1",0.502784982052651,0.370990658609188,800,1,83,26,0.746414759579351,"Mutually_Exclusive","AKT1, MAP3K1","1/109"
"MAP3K1","KMT2D",0.536226014581589,1.37359231112526,797,4,29,80,0.792296120835682,"Co_Occurence","KMT2D, MAP3K1","4/109"
"FAT1","PIK3CA",0.552804667357687,1.29126715809375,558,12,324,16,0.812533161123866,"Co_Occurence","FAT1, PIK3CA","12/340"
"LRP1B","TP53",0.55699945607828,1.26029020111184,553,12,329,16,0.812533161123866,"Co_Occurence","LRP1B, TP53","12/345"
"PTEN","PIK3CA",0.557722761795422,0.796617654826926,538,17,319,36,0.812533161123866,"Mutually_Exclusive","PIK3CA, PTEN","17/355"
"MAP2K4","MAP3K1",0.570416028766468,0.520398798457972,789,2,82,37,0.826542816715344,"Mutually_Exclusive","MAP2K4, MAP3K1","2/119"
"CDH1","AKT1",0.574502720688951,1.36492046605804,757,5,22,126,0.826542816715344,"Co_Occurence","AKT1, CDH1","5/148"
"BIRC6","FOXA1",0.57527380043388,1.21908139430385,856,1,27,26,0.826542816715344,"Co_Occurence","BIRC6, FOXA1","1/53"
"FAT3","KMT2C",0.578206191224856,1.36925580250025,789,5,80,36,0.826953934818158,"Co_Occurence","FAT3, KMT2C","5/116"
"LRP1B","CDH1",0.583685700289531,1.30393106350375,756,5,126,23,0.830987614307419,"Co_Occurence","CDH1, LRP1B","5/149"
"AKAP9","AKT1",0.588275622869577,1.17422647692532,855,1,26,28,0.833723955314027,"Co_Occurence","AKAP9, AKT1","1/54"
"KMT2D","AKT1",0.61947007954557,0,850,0,27,33,0.854006431890393,"Mutually_Exclusive","AKT1, KMT2D","0/60"
"ARID1A","AKT1",0.62181400880775,0,846,0,27,37,0.854006431890393,"Mutually_Exclusive","AKT1, ARID1A","0/64"
"CSMD3","AKT1",0.623160449753452,0,845,0,27,38,0.854006431890393,"Mutually_Exclusive","AKT1, CSMD3","0/65"
"MAP2K4","BIRC6",0.624775346425802,0,844,0,27,39,0.854006431890393,"Mutually_Exclusive","BIRC6, MAP2K4","0/66"
"RUNX1","BIRC6",0.626642135747067,0,843,0,27,40,0.854006431890393,"Mutually_Exclusive","BIRC6, RUNX1","0/67"
"FAT1","MAP2K4",0.627624038271653,0,843,0,39,28,0.854006431890393,"Mutually_Exclusive","FAT1, MAP2K4","0/67"
"FOXA1","MAP2K4",0.627624038271653,0,843,0,39,28,0.854006431890393,"Mutually_Exclusive","FOXA1, MAP2K4","0/67"
"LRP1B","MAP2K4",0.627624038271653,0,843,0,39,28,0.854006431890393,"Mutually_Exclusive","LRP1B, MAP2K4","0/67"
"FAT3","AKT1",0.628744955902055,0,842,0,27,41,0.854006431890393,"Mutually_Exclusive","AKT1, FAT3","0/68"
"RUNX1","FOXA1",0.629915144162354,0,842,0,28,40,0.854006431890393,"Mutually_Exclusive","FOXA1, RUNX1","0/68"
"PIK3R1","MAP2K4",0.638806232845974,0,840,0,39,31,0.860858410692665,"Mutually_Exclusive","MAP2K4, PIK3R1","0/70"
"CDH1","MAP2K4",0.640478657555343,0.66977699743763,744,4,35,127,0.860858410692665,"Mutually_Exclusive","CDH1, MAP2K4","4/162"
"ARID1A","TBX3",0.649084432568367,1.45382785283506,840,2,33,35,0.868689015749956,"Co_Occurence","ARID1A, TBX3","2/68"
"CSMD3","TBX3",0.653636416183546,1.41182449132708,839,2,33,36,0.869955050137989,"Co_Occurence","CSMD3, TBX3","2/69"
"TBX3","MAP2K4",0.65838198194443,1.37208885074186,838,2,37,33,0.869955050137989,"Co_Occurence","MAP2K4, TBX3","2/70"
"TBX3","NF1",0.65838198194443,1.37208885074186,838,2,37,33,0.869955050137989,"Co_Occurence","NF1, TBX3","2/70"
"NCOR1","MYH9",0.663046703828795,1.33605026127032,834,2,26,48,0.870247352276377,"Co_Occurence","MYH9, NCOR1","2/74"
"ARID1A","CSMD3",0.66417277925733,1.328096436741,837,2,36,35,0.870247352276377,"Co_Occurence","ARID1A, CSMD3","2/71"
"AKAP9","NCOR1",0.670400843229357,1.28509843551171,833,2,48,27,0.874740139913044,"Co_Occurence","AKAP9, NCOR1","2/75"
"CSMD3","RUNX1",0.681225126197296,1.21900830151327,834,2,38,36,0.881704469340525,"Co_Occurence","CSMD3, RUNX1","2/74"
"NF1","MAP2K4",0.681381213906357,1.21811901738281,834,2,37,37,0.881704469340525,"Co_Occurence","MAP2K4, NF1","2/74"
"PIK3R1","NCOR1",0.685793216148959,1.19371406302375,831,2,48,29,0.883754144521854,"Co_Occurence","NCOR1, PIK3R1","2/77"
"AKAP9","TP53",0.698497486711424,1.18410422573639,552,12,329,17,0.89642901272,"Co_Occurence","AKAP9, TP53","12/346"
"NCOR1","KMT2D",0.701793548160354,1.11409633969254,829,2,31,48,0.896975393865483,"Co_Occurence","KMT2D, NCOR1","2/79"
"PTEN","MAP2K4",0.721958540587334,0.414756671743372,819,1,38,52,0.916446170485796,"Mutually_Exclusive","MAP2K4, PTEN","1/90"
"TBX3","PIK3CA",0.722892739279196,1.14474911788008,553,14,322,21,0.916446170485796,"Co_Occurence","PIK3CA, TBX3","14/343"
"BIRC6","MAP3K1",0.731530670291445,1.23733881306029,802,3,81,24,0.922982919012938,"Co_Occurence","BIRC6, MAP3K1","3/105"
"PIK3CA","RUNX1",0.7382087087136,1.14565368672843,550,16,24,320,0.922982919012938,"Co_Occurence","PIK3CA, RUNX1","16/344"
"FOXA1","KMT2C",0.739863107880771,1.17051362885981,800,3,82,25,0.922982919012938,"Co_Occurence","FOXA1, KMT2C","3/107"
"MYH9","KMT2C",0.739863107880771,1.17051362885981,800,3,82,25,0.922982919012938,"Co_Occurence","KMT2C, MYH9","3/107"
"AKAP9","MAP3K1",0.7444906424558,1.13941459678596,800,3,81,26,0.925062925516651,"Co_Occurence","AKAP9, MAP3K1","3/107"
"SPEN","MAP3K1",0.760514887799629,0.647417149509292,796,2,82,30,0.941231296781719,"Mutually_Exclusive","MAP3K1, SPEN","2/112"
"ARID1A","KMT2C",0.770447209436133,1.18494734870617,792,4,81,33,0.949762339048487,"Co_Occurence","ARID1A, KMT2C","4/114"
"FAT3","MAP3K1",0.785510430151597,1.06615973866383,789,4,80,37,0.961878657641596,"Co_Occurence","FAT3, MAP3K1","4/117"
"GATA3","FOXA1",0.786431990487768,0.747758014872098,760,3,25,122,0.961878657641596,"Mutually_Exclusive","FOXA1, GATA3","3/147"
"KMT2D","GATA3",0.796275871800868,1.12629768832849,757,5,120,28,0.970121676170648,"Co_Occurence","GATA3, KMT2D","5/148"
"NCOR1","KMT2C",0.803176204274913,1.08326329593419,780,5,80,45,0.972481296759024,"Co_Occurence","KMT2C, NCOR1","5/125"
"MAP2K4","GATA3",0.811013650571424,1.14875297596529,752,6,119,33,0.972481296759024,"Co_Occurence","GATA3, MAP2K4","6/152"
"NF1","GATA3",0.811013650571424,1.14875297596529,752,6,119,33,0.972481296759024,"Co_Occurence","GATA3, NF1","6/152"
"CDH1","CSMD3",0.812801391626287,1.12038994327745,747,6,32,125,0.972481296759024,"Co_Occurence","CDH1, CSMD3","6/157"
"RUNX1","GATA3",0.813772349127951,1.11358991800305,751,6,119,34,0.972481296759024,"Co_Occurence","GATA3, RUNX1","6/153"
"PTEN","GATA3",0.836500855370606,0.791893268886233,738,6,119,47,0.995834351631674,"Mutually_Exclusive","GATA3, PTEN","6/166"
"PIK3CA","AKAP9",0.847241012439387,0.896119317528536,555,10,19,326,1,"Mutually_Exclusive","AKAP9, PIK3CA","10/345"
"ARID1A","PIK3CA",0.863853567024771,0.922413821350057,550,13,323,24,1,"Mutually_Exclusive","ARID1A, PIK3CA","13/347"
"MAP3K1","RUNX1",1,0.789985093018921,789,3,37,81,1,"Mutually_Exclusive","MAP3K1, RUNX1","3/118"
"CSMD3","MAP3K1",1,0.83721744060865,791,3,81,35,1,"Mutually_Exclusive","CSMD3, MAP3K1","3/116"
"FAT1","NCOR1",1,0.6298672235981,833,1,49,27,1,"Mutually_Exclusive","FAT1, NCOR1","1/76"
"LRP1B","NCOR1",1,0.6298672235981,833,1,49,27,1,"Mutually_Exclusive","LRP1B, NCOR1","1/76"
"FOXA1","FAT3",1,0.779812142760284,842,1,40,27,1,"Mutually_Exclusive","FAT3, FOXA1","1/67"
"ARID1A","RUNX1",1,0.594264214266074,834,1,39,36,1,"Mutually_Exclusive","ARID1A, RUNX1","1/75"
"AKAP9","RUNX1",1,0.771249673443902,842,1,39,28,1,"Mutually_Exclusive","AKAP9, RUNX1","1/67"
"PTEN","ARID1A",1,0.921085389339734,822,2,35,51,1,"Mutually_Exclusive","ARID1A, PTEN","2/86"
"RUNX1","KMT2D",1,0.671704344814368,838,1,32,39,1,"Mutually_Exclusive","KMT2D, RUNX1","1/71"
"FAT1","AKT1",1,0,855,0,27,28,1,"Mutually_Exclusive","AKT1, FAT1","0/55"
"FOXA1","AKT1",1,0,855,0,27,28,1,"Mutually_Exclusive","AKT1, FOXA1","0/55"
"LRP1B","AKT1",1,0,855,0,27,28,1,"Mutually_Exclusive","AKT1, LRP1B","0/55"
"MYH9","AKT1",1,0,855,0,27,28,1,"Mutually_Exclusive","AKT1, MYH9","0/55"
"CDH1","ARID1A",1,0.926392781488359,747,5,32,126,1,"Mutually_Exclusive","ARID1A, CDH1","5/158"
"FOXA1","KMT2D",1,0.983813780209266,850,1,32,27,1,"Mutually_Exclusive","FOXA1, KMT2D","1/59"
"TP53","BIRC6",1,0.981004470630971,552,10,17,331,1,"Mutually_Exclusive","BIRC6, TP53","10/348"
"NF1","TP53",1,0.931684151970377,544,14,327,25,1,"Mutually_Exclusive","NF1, TP53","14/352"
"RUNX1","PTEN",1,0.845334221066478,819,2,51,38,1,"Mutually_Exclusive","PTEN, RUNX1","2/89"
"AKT1","NCOR1",1,0.654862665226597,834,1,49,26,1,"Mutually_Exclusive","AKT1, NCOR1","1/75"
"AKT1","RUNX1",1,0.832496751369003,844,1,39,26,1,"Mutually_Exclusive","AKT1, RUNX1","1/65"
"KMT2D","MAP2K4",1,0.69019107693245,839,1,38,32,1,"Mutually_Exclusive","KMT2D, MAP2K4","1/70"
"PIK3R1","ARID1A",1,0.780737992899754,843,1,36,30,1,"Mutually_Exclusive","ARID1A, PIK3R1","1/66"
"BIRC6","TBX3",1,0.960448819838206,849,1,34,26,1,"Mutually_Exclusive","BIRC6, TBX3","1/60"
"PIK3R1","SPEN",1,0.911915344396099,848,1,31,30,1,"Mutually_Exclusive","PIK3R1, SPEN","1/61"
"FOXA1","PIK3R1",1,1.05181390655765,852,1,30,27,1,"Co_Occurence","FOXA1, PIK3R1","1/57"
"GATA3","AKAP9",1,1.00495332425213,760,4,25,121,1,"Co_Occurence","AKAP9, GATA3","4/146"
"TBX3","AKAP9",1,0.889812188801608,847,1,28,34,1,"Mutually_Exclusive","AKAP9, TBX3","1/62"
"MAP3K1","FAT1",1,0.750688585269929,800,2,26,82,1,"Mutually_Exclusive","FAT1, MAP3K1","2/108"
"TP53","MYH9",1,0.924876100967252,551,10,18,331,1,"Mutually_Exclusive","MYH9, TP53","10/349"
"MAP2K4","MYH9",1,0.822768390170336,844,1,27,38,1,"Mutually_Exclusive","MAP2K4, MYH9","1/65"
"PIK3R1","AKT1",1,0,852,0,27,31,1,"Mutually_Exclusive","AKT1, PIK3R1","0/58"
"BIRC6","AKT1",1,0,856,0,27,27,1,"Mutually_Exclusive","AKT1, BIRC6","0/54"
"FAT3","CDH1",1,1.02032179437605,744,6,125,35,1,"Co_Occurence","CDH1, FAT3","6/160"
"GATA3","KMT2C",1,0.927198380179128,711,11,74,114,1,"Mutually_Exclusive","GATA3, KMT2C","11/188"
"TBX3","FAT3",1,0.614214488871076,835,1,40,34,1,"Mutually_Exclusive","FAT3, TBX3","1/74"
"AKT1","NF1",1,0.855396415362419,845,1,38,26,1,"Mutually_Exclusive","AKT1, NF1","1/64"
"MAP2K4","CSMD3",1,0.593419410838969,834,1,37,38,1,"Mutually_Exclusive","CSMD3, MAP2K4","1/75"
"LRP1B","CSMD3",1,0.845986080627879,845,1,37,27,1,"Mutually_Exclusive","CSMD3, LRP1B","1/64"
"PIK3R1","TBX3",1,0.828583995085617,845,1,34,30,1,"Mutually_Exclusive","PIK3R1, TBX3","1/64"
"ARID1A","KMT2D",1,0.730242816553806,841,1,32,36,1,"Mutually_Exclusive","ARID1A, KMT2D","1/68"
"CDH1","FAT1",1,0.990823321750778,755,4,24,127,1,"Mutually_Exclusive","CDH1, FAT1","4/151"
"KMT2D","PIK3CA",1,0.975334210929103,553,12,324,21,1,"Mutually_Exclusive","KMT2D, PIK3CA","12/345"
"NCOR1","CDH1",1,0.966271760089544,736,7,124,43,1,"Mutually_Exclusive","CDH1, NCOR1","7/167"
"AKAP9","CDH1",1,0.949964235935579,754,4,127,25,1,"Mutually_Exclusive","AKAP9, CDH1","4/152"
"NF1","RUNX1",1,0.561714687519976,832,1,39,38,1,"Mutually_Exclusive","NF1, RUNX1","1/77"
"TBX3","RUNX1",1,0.630708369713787,836,1,39,34,1,"Mutually_Exclusive","RUNX1, TBX3","1/73"
"FAT1","RUNX1",1,0.800740117454369,843,1,39,27,1,"Mutually_Exclusive","FAT1, RUNX1","1/66"
"AKT1","SPEN",1,1.05703152282864,852,1,31,26,1,"Co_Occurence","AKT1, SPEN","1/57"
